ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie. Reglement UE N 1169/2011 (kJ/100g);Eau (g/100g);Proteines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG satures (g/100g);AG monoinsatures (g/100g);AG polyinsatures (g/100g);AG 4:0. butyrique (g/100g);AG 6:0. caproique (g/100g);AG 8:0. caprylique (g/100g);AG 10:0. caprique (g/100g);AG 12:0. laurique (g/100g);AG 14:0. myristique (g/100g);AG 16:0. palmitique (g/100g);AG 18:0. stearique (g/100g);AG 18:1 9c (n09). oleique (g/100g);AG 18:2 9c.12c (n06). linoleique (g/100g);AG 18:3 c9.c12.c15 (n03). alpha0linolenique (g/100g);AG 20:4 5c.8c.11c.14c (n06). arachidonique (g/100g);AG 20:5 5c.8c.11c.14c.17c (n03) EPA (g/100g);AG 22:6 4c.7c.10c.13c.16c.19c (n03) DHA (g/100g);Cholesterol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (g/100g);Magnesium (mg/100g);Manganese (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Selenium (g/100g);Sodium (mg/100g);Zinc (mg/100g);Retinol (g/100g);Beta0Carotene (g/100g);Vitamine D (g/100g);Vitamine E (mg/100g);Vitamine K1 (g/100g);Vitamine K2 (g/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothenique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (g/100g);Vitamine B12 (g/100g)
10;Volailles;36301;Dinde. viande. crue;464;75.4;22.4;0.8;1.88;0.14;0.07;0;0;1.02;0;0;0.52;0.54;0.61;0;0;0;0.0029;0.0059;0.013;0.34;0.16;0.37;0.36;0.053;0;0;0.002;65.5;0.25;10.5;0;0.067;0.82;1.5;24;0.012;170;233;9.9;106;2.22;9;0;0.2;0.15;0;0;0;0.07;0.18;8;0.82;0.56;11;1.62
10;Volailles;36302;Dinde. viande. rotie/cuite au four;713;65.3;26.4;7.25;3.84;0;0;0;0;1.14;0;0;0.96;1.26;1.03;0;0;0;0.0048;0.0068;0.028;0.61;0.31;0.94;0.65;0.049;0.04;0.016;0.0043;120;0.1;9.66;0;0.094;1.14;5;44.3;0.02;222;483;10;101;3.75;4;0;0.3;0.06;0;0;0;0.047;0.28;9.5;0.95;0.64;9;0.94
10;Volailles;36304;Dinde. escalope. crue;463;74.3;24.1;0.51;1.22;0.32;0.09;0;0;1.14;0;0;0.29;0.29;0.23;0;0;0;0.004;0.003;0.004;0.18;0.093;0.23;0.2;0.009;0;0;0.002;57;0.2;16.4;0;0.07;1.02;0;28;0.011;201;242;10;82.8;1.28;6;0;0.1;0.06;0;0;0;0.042;0.15;9.92;0.78;0.81;7;0.63
10;Volailles;36305;Dinde. cuisse. viande et peau. crue;627;73.4;19.8;0;7.85;0;0;0;0;0.92;0;0;2.24;2.58;2.14;0;0;0.001;0.005;0.022;0.071;1.43;0.56;2.1;1.74;0.11;0;0.003;0.017;79;0.24;14;0;0.11;1.36;0;21.5;0.018;172;241;0;95.3;2.71;13.5;0;0.5;0.11;0;0;0;0.066;0.22;4.16;0.97;0.37;8;1.12
10;Volailles;36306;Dinde. escalope. sautee/poelee;535;66.3;28.5;0;1.38;0;0;0;0;1.48;0;0;0.51;0.47;0.37;0.05;0.05;0.05;0.05;0.05;0.0085;0.33;0.13;0;0.27;0.02;0;0;0;72.5;0.16;5.42;124;0.054;0.51;4;44.4;0.012;293;459;6.48;65.2;1.22;2;0;0.5;0.08;0;0;0.75;0.049;0.083;13.5;0.84;0.59;0;0.61
10;Volailles;36307;Dinde. cuisse. viande sans peau. crue;461;76;21.3;0.4;2.5;0.1;0.05;0;0;1.03;0;0;0.68;0.76;0.61;0;0;0;0.002;0.01;0.024;0.44;0.19;0;0;0;0;0.001;0.002;79;0.31;11;0;0.092;1.04;0;25;0.014;176;226;28;124;2.59;13;0;0.3;0.12;0;0;0;0.062;0.26;5.7;0.94;0.44;7;2.05
10;Volailles;36308;Dinde. escalope. rotie/cuite au four;539;67.9;24.6;0.5;3.04;0;0;0;0;1.22;0;0;1;0.63;0.53;0;0;0;0.004;0.005;0.018;0.37;0.18;0.54;0.43;0.02;0;0.004;0.004;80;0.25;9;0;0.063;0.57;0;32;0.011;230;249;30.8;99;1.72;3;0;0.3;0.06;0;0;0;0.035;0.21;11.8;0.9;0.81;9;0.39
10;Volailles;36310;Dinde. aile. crue;800;66.5;20.2;0;12.3;0;0;0;0;0.81;0;0;3.28;4.97;2.86;0;0;0;0;0.01;0.09;2.27;0.67;0;0;0;0;0;0.01;70;0.14;14;0;0.077;1.26;0;21;0.017;165;240;0;55;1.54;3;0;0;0;0;0;0;0.05;0.11;4.43;0.55;0.41;7;0.39
10;Volailles;36318;Dinde. escalope viennoise ou milanaise ou escalope panee;882;0;14.1;13.5;10.9;1.07;0;1.3;0;1.03;0;0;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.03;0;0;0;0;0;0;0;0;0;0;356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Volailles;36401;Faisan. viande. cru;535;72.2;23.3;0;3.78;0;0;0;0;1.37;0;0;1.29;1.23;0.65;0;0;0;0;0.052;0.033;0.79;0.38;1.04;0.57;0.085;0;0;0;67.4;0.094;14.8;0;0.071;1.22;5;20.1;0.017;231;261;14;37.6;1;52.3;0;0;0;0;0;5.91;0.076;0.15;6.56;0.96;0.73;6.25;0.83
